account_id,customer_id,account_type,currency,opened_date,status
62,62,current,EUR,2024-11-03,active
63,63,current,AUD,2024-05-05,active
64,64,savings,CAD,2024-10-16,active
65,65,savings,EUR,2023-05-20,active
66,66,current,GBP,2022-08-09,active
67,67,current,EUR,2024-10-28,active
68,68,savings,EUR,2024-06-17,active
69,69,current,AUD,2024-12-23,active
70,70,current,EUR,2024-02-26,active
71,71,savings,AUD,2024-10-18,active
72,72,current,GBP,2024-10-14,active
73,73,current,AUD,2024-11-14,active
74,74,merchant,CAD,2024-07-04,active
75,75,savings,EUR,2023-12-22,active
76,76,current,EUR,2024-12-21,active
77,77,merchant,AUD,2023-10-06,active
78,78,savings,GBP,2023-07-25,active
79,79,current,GBP,2023-05-31,active
80,80,savings,AUD,2024-12-23,active
81,81,savings,AUD,2022-10-24,closed
82,82,savings,EUR,2023-11-01,active
83,83,savings,AUD,2024-09-07,active
84,84,merchant,EUR,2022-04-17,active
85,85,current,EUR,2024-01-29,active
86,86,current,EUR,2024-07-23,active
87,87,current,CAD,2024-04-18,active
88,88,savings,GBP,2024-05-08,active
89,89,savings,EUR,2024-05-07,active
90,90,savings,CAD,2023-08-02,active
91,91,current,AUD,2024-11-13,active
92,92,current,EUR,2023-07-04,active
93,93,savings,CAD,2024-05-10,active
94,94,savings,GBP,2024-05-04,active
95,95,savings,GBP,2023-11-30,active
96,96,current,AUD,2024-10-31,active
97,97,savings,EUR,2024-05-05,active
98,98,savings,CAD,2024-06-14,suspended
99,99,savings,GBP,2023-04-19,active
100,100,savings,EUR,2024-10-03,active
101,101,current,CAD,2024-08-04,active
102,102,current,CAD,2024-06-27,active
103,103,merchant,EUR,2024-12-22,active
104,104,current,AUD,2024-05-04,active
105,105,current,EUR,2024-12-02,active
106,106,current,EUR,2024-12-12,closed
107,107,current,AUD,2024-02-23,closed
108,108,current,AUD,2023-07-01,active
109,109,savings,EUR,2023-06-26,closed
110,110,savings,EUR,2023-11-25,active
111,111,savings,CAD,2024-11-26,active
112,112,current,AUD,2024-04-21,active
113,113,savings,EUR,2024-04-03,active
114,114,savings,CAD,2024-09-24,active
115,115,current,EUR,2023-01-08,active
116,116,merchant,EUR,2024-10-24,active
117,117,current,AUD,2024-04-04,active
118,118,current,EUR,2023-06-19,active
119,119,current,AUD,2024-10-18,active
120,120,current,AUD,2024-12-12,suspended
121,121,savings,AUD,2024-12-28,active
122,122,current,AUD,2024-11-10,active
123,123,current,EUR,2023-04-18,active
124,124,current,EUR,2023-12-27,active
125,125,current,EUR,2024-12-07,active
126,126,current,AUD,2024-05-04,active
127,127,current,CAD,2023-10-14,active
128,128,current,EUR,2023-09-04,active
129,129,current,EUR,2024-08-20,active
130,130,savings,EUR,2024-10-06,active
131,131,current,CAD,2024-05-29,active
132,132,current,AUD,2024-03-14,active
133,133,current,AUD,2023-04-27,active
134,134,merchant,CAD,2024-01-13,closed
135,135,savings,EUR,2022-12-31,active
136,136,current,EUR,2024-12-29,active
137,137,current,EUR,2023-02-11,active
138,138,current,CAD,2024-02-01,active
139,139,savings,AUD,2024-08-08,active
140,140,current,GBP,2023-11-23,active
141,141,savings,AUD,2024-06-12,active
142,142,current,EUR,2024-08-27,active
143,143,current,EUR,2022-07-23,active
144,144,current,EUR,2023-09-18,suspended
145,145,savings,GBP,2023-08-18,active
146,146,current,EUR,2023-04-23,active
147,147,current,GBP,2024-01-12,active
148,148,current,EUR,2024-07-27,active
149,149,current,GBP,2024-03-31,active
150,150,savings,AUD,2024-08-11,active
151,151,savings,EUR,2023-09-24,active
152,152,savings,GBP,2024-07-15,active
153,153,savings,AUD,2024-11-16,active
154,154,current,GBP,2024-12-22,active
155,155,merchant,EUR,2022-12-04,active
156,156,savings,GBP,2024-10-31,active
157,157,current,EUR,2024-06-27,active
158,158,current,EUR,2023-11-11,active
159,159,current,EUR,2024-11-16,active
160,160,current,AUD,2024-03-23,suspended
161,161,current,CAD,2024-11-22,active
162,162,current,CAD,2024-05-17,active
163,163,savings,EUR,2024-12-31,active
164,164,merchant,EUR,2024-11-19,active
165,165,current,GBP,2023-12-30,active
166,166,current,CAD,2024-05-23,suspended
167,167,current,EUR,2024-08-24,active
168,168,current,AUD,2024-12-30,active
169,169,current,CAD,2022-10-23,closed
170,170,current,EUR,2023-08-22,active
171,171,merchant,GBP,2024-12-20,active
172,172,current,AUD,2024-05-17,closed
173,173,current,EUR,2024-12-29,active
174,174,current,GBP,2024-12-28,active
175,175,current,EUR,2023-02-06,active
176,176,current,AUD,2024-09-28,active
177,177,savings,GBP,2023-10-31,active
178,178,savings,EUR,2024-03-31,active
179,179,current,CAD,2022-11-28,active
180,180,current,AUD,2024-09-13,active
181,181,current,EUR,2024-12-05,active
182,182,current,CAD,2024-05-24,suspended
183,183,current,AUD,2022-09-05,active
184,184,current,EUR,2023-04-01,active
185,185,current,EUR,2024-09-24,active
186,186,current,AUD,2024-11-14,active
187,187,savings,CAD,2024-12-05,active
188,188,savings,EUR,2024-06-21,active
189,189,savings,GBP,2024-08-17,active
190,190,savings,CAD,2023-09-21,active
191,191,current,EUR,2024-02-01,active
192,192,savings,CAD,2024-11-17,active
193,193,current,EUR,2024-02-21,active
194,194,savings,AUD,2024-04-01,active
195,195,current,EUR,2023-09-03,active
196,196,savings,GBP,2024-03-09,active
197,197,current,GBP,2024-05-09,active
198,198,current,GBP,2024-06-28,active
199,199,current,GBP,2024-11-28,active
200,200,current,AUD,2024-10-20,active
201,201,current,CAD,2023-10-21,active
202,202,current,GBP,2024-08-06,active
203,203,current,EUR,2023-09-15,active
204,204,current,EUR,2024-12-24,active
205,205,savings,CAD,2024-12-20,active
206,206,savings,CAD,2024-11-03,active
207,207,merchant,EUR,2024-04-21,closed
208,208,current,CAD,2024-11-08,active
209,209,current,GBP,2023-07-16,active
210,210,current,GBP,2024-12-10,active
211,211,current,EUR,2024-09-21,closed
212,212,current,AUD,2024-11-14,active
213,213,current,CAD,2024-07-14,active
214,214,merchant,CAD,2024-12-14,active
215,215,current,AUD,2024-11-12,closed
216,216,savings,GBP,2024-01-16,active
217,217,current,AUD,2024-11-06,active
218,218,current,CAD,2024-10-03,active
219,219,current,AUD,2024-01-05,active
220,220,current,EUR,2024-08-11,active
221,221,current,EUR,2024-10-15,active
222,222,savings,EUR,2024-10-29,suspended
223,223,current,AUD,2024-05-05,active
224,224,current,GBP,2024-10-22,closed
225,225,current,AUD,2024-11-11,active
226,226,savings,EUR,2023-10-12,closed
227,227,current,EUR,2024-08-29,suspended
228,228,savings,EUR,2024-11-05,suspended
229,229,merchant,GBP,2024-10-25,active
230,230,current,EUR,2024-03-01,active
231,231,current,EUR,2022-03-22,closed
232,232,current,EUR,2024-02-21,active
233,233,current,AUD,2023-07-18,active
234,234,current,EUR,2023-05-29,closed
235,235,savings,EUR,2024-03-29,active
236,236,merchant,AUD,2024-11-18,active
237,237,current,AUD,2023-05-12,active
238,238,savings,AUD,2024-11-09,closed
239,239,current,EUR,2024-09-12,closed
240,240,savings,AUD,2024-02-27,active
241,241,current,GBP,2024-04-18,active
242,242,current,EUR,2024-10-07,active
243,243,current,EUR,2024-11-29,active
244,244,current,EUR,2023-09-16,active
245,245,current,AUD,2024-05-22,suspended
246,246,current,GBP,2024-11-01,active
247,247,current,GBP,2024-04-08,active
248,248,savings,CAD,2024-11-02,active
249,249,current,GBP,2023-11-20,active
250,250,savings,CAD,2023-12-14,active
251,251,current,GBP,2023-12-25,active
252,252,current,AUD,2024-12-25,active
253,253,savings,EUR,2024-03-20,active
254,254,savings,CAD,2024-01-15,active
255,255,current,EUR,2023-05-04,active
256,256,current,AUD,2024-09-13,active
257,257,current,CAD,2023-04-29,active
258,258,savings,CAD,2024-11-02,active
259,259,current,GBP,2023-06-29,active
260,260,current,AUD,2024-06-04,active
261,261,current,EUR,2024-08-12,active
262,262,current,EUR,2022-10-10,active
263,263,current,GBP,2024-11-21,active
264,264,current,EUR,2024-10-17,active
265,265,current,CAD,2024-08-18,active
266,266,current,EUR,2024-01-13,active
267,267,savings,CAD,2022-09-30,active
268,268,current,EUR,2023-06-27,suspended
269,269,current,AUD,2024-04-17,active
270,270,savings,EUR,2024-12-18,active
271,271,current,EUR,2023-09-01,active
272,272,savings,EUR,2024-06-25,active
273,273,savings,CAD,2024-08-08,active
274,274,current,EUR,2024-05-04,active
275,275,savings,EUR,2024-06-29,active
276,276,savings,CAD,2023-09-25,suspended
277,277,savings,GBP,2023-11-21,active
278,278,current,AUD,2024-10-24,active
279,279,savings,EUR,2024-09-29,active
280,280,current,AUD,2024-08-02,active
281,281,current,EUR,2024-12-13,active
282,282,current,CAD,2024-12-04,active
283,283,current,EUR,2024-12-14,active
284,284,current,EUR,2024-08-21,active
285,285,current,AUD,2024-11-08,active
286,286,current,CAD,2024-03-05,active
287,287,current,EUR,2024-12-10,active
288,288,savings,CAD,2023-10-10,active
289,289,current,AUD,2024-06-09,active
290,290,current,GBP,2024-07-03,active
291,291,current,AUD,2022-12-20,active
292,292,savings,EUR,2022-10-10,active
293,293,current,CAD,2023-07-14,active
294,294,current,CAD,2024-05-05,active
295,295,savings,GBP,2022-10-06,active
296,296,current,AUD,2024-09-25,closed
297,297,merchant,EUR,2023-09-18,active
298,298,savings,AUD,2024-02-11,active
299,299,current,GBP,2024-12-09,active
300,300,current,AUD,2023-08-08,active
301,301,savings,GBP,2024-08-23,active
302,302,savings,EUR,2024-10-09,active
303,303,savings,EUR,2024-10-03,active
304,304,savings,AUD,2022-09-01,active
305,305,current,EUR,2024-08-24,active
306,306,current,GBP,2022-07-02,active
307,307,merchant,CAD,2024-11-30,active
308,308,current,EUR,2024-12-30,active
309,309,current,CAD,2024-12-29,active
310,310,current,CAD,2024-12-05,active
311,311,current,EUR,2024-12-02,active
312,312,current,AUD,2024-12-20,active
313,313,current,EUR,2024-10-03,active
314,314,current,EUR,2023-08-17,active
315,315,current,GBP,2024-10-30,active
316,316,current,AUD,2024-05-28,active
317,317,savings,EUR,2024-05-15,active
318,318,savings,EUR,2024-11-02,active
319,319,current,GBP,2023-10-01,active
320,320,savings,GBP,2023-04-18,active
321,321,current,EUR,2023-09-03,active
322,322,savings,EUR,2024-11-03,active
323,323,current,GBP,2024-04-01,active
324,324,current,EUR,2024-11-18,active
325,325,current,EUR,2024-08-25,active
326,326,current,CAD,2024-12-25,active
327,327,current,GBP,2023-02-18,active
328,328,current,CAD,2024-12-28,active
329,329,savings,EUR,2024-09-04,active
330,330,current,GBP,2024-11-29,active
331,331,savings,AUD,2024-10-05,active
332,332,current,EUR,2024-07-17,active
333,333,current,CAD,2024-01-10,active
334,334,current,GBP,2024-02-12,active
335,335,current,EUR,2024-12-04,active
336,336,current,AUD,2024-07-25,active
337,337,current,EUR,2024-02-14,active
338,338,savings,GBP,2024-09-24,active
339,339,savings,EUR,2023-05-20,active
340,340,current,GBP,2024-07-26,active
341,341,current,CAD,2024-12-30,active
342,342,savings,EUR,2024-07-01,active
343,343,merchant,AUD,2024-04-18,active
344,344,current,AUD,2024-04-17,active
345,345,savings,EUR,2023-11-25,active
346,346,savings,EUR,2024-01-21,closed
347,347,savings,AUD,2023-04-23,active
348,348,current,EUR,2024-04-21,active
349,349,current,CAD,2024-12-30,active
350,350,current,EUR,2024-11-17,active
351,351,savings,CAD,2024-08-21,suspended
352,352,savings,EUR,2024-06-05,active
353,353,savings,EUR,2024-11-26,active
354,354,savings,CAD,2023-03-09,closed
355,355,savings,AUD,2024-06-05,active
356,356,savings,GBP,2024-02-07,active
357,357,current,GBP,2024-08-04,active
358,358,current,GBP,2024-03-11,active
359,359,savings,CAD,2023-04-02,active
360,360,current,GBP,2024-11-29,active
361,361,current,EUR,2024-12-21,active
362,362,current,CAD,2022-11-08,active
363,363,current,AUD,2024-05-02,active
364,364,current,EUR,2023-01-24,active
365,365,current,EUR,2024-08-23,active
366,366,savings,AUD,2022-10-23,active
367,367,savings,AUD,2024-11-14,active
368,368,current,EUR,2024-12-26,active
369,369,current,CAD,2024-07-06,active
370,370,current,CAD,2024-04-13,active
371,371,current,EUR,2024-10-23,closed
372,372,merchant,EUR,2024-10-23,active
373,373,current,EUR,2023-12-09,active
374,374,current,GBP,2024-12-16,active
375,375,current,EUR,2024-03-30,active
376,376,current,EUR,2024-12-11,active
377,377,savings,EUR,2022-03-14,active
378,378,current,EUR,2023-11-27,active
379,379,current,EUR,2024-10-25,active
380,380,current,AUD,2024-04-19,active
381,381,current,GBP,2024-11-16,active
382,382,savings,AUD,2022-11-15,active
383,383,savings,AUD,2023-08-27,suspended
384,384,current,EUR,2024-02-20,closed
385,385,savings,GBP,2022-11-03,active
386,386,savings,CAD,2024-09-18,active
387,387,current,CAD,2024-04-19,active
388,388,current,AUD,2023-11-26,active
389,389,current,CAD,2024-05-11,active
390,390,savings,EUR,2024-09-16,active
391,391,current,EUR,2023-11-30,active
392,392,current,AUD,2024-09-25,active
393,393,current,GBP,2024-10-12,active
394,394,savings,CAD,2024-12-10,active
395,395,merchant,CAD,2024-06-29,active
396,396,savings,CAD,2024-11-06,active
397,397,savings,CAD,2024-04-12,active
398,398,current,EUR,2024-04-29,active
399,399,merchant,AUD,2024-11-01,active
400,400,current,CAD,2024-06-14,active
401,401,savings,CAD,2024-06-04,closed
402,402,current,EUR,2023-05-18,active
403,403,savings,GBP,2024-07-05,active
404,404,savings,GBP,2024-05-12,active
405,405,savings,CAD,2024-06-19,active
406,406,current,EUR,2024-08-07,active
407,407,current,EUR,2024-04-19,active
408,408,current,GBP,2022-10-28,active
409,409,current,EUR,2024-08-19,active
410,410,merchant,GBP,2024-08-28,active
411,411,current,AUD,2023-03-20,active
412,412,savings,GBP,2024-07-09,active
413,413,savings,EUR,2024-01-31,active
414,414,current,EUR,2023-11-09,active
415,415,current,EUR,2024-04-03,active
416,416,current,CAD,2024-04-14,active
417,417,merchant,EUR,2024-10-27,active
418,418,merchant,GBP,2024-10-24,active
419,419,current,CAD,2024-12-14,active
420,420,current,CAD,2024-08-07,active
421,421,savings,EUR,2024-12-13,closed
422,422,current,AUD,2023-05-08,active
423,423,current,GBP,2022-07-10,active
424,424,current,EUR,2023-09-14,active
425,425,savings,GBP,2024-10-09,active
426,426,current,AUD,2024-01-11,active
427,427,current,EUR,2023-10-25,active
428,428,savings,EUR,2022-09-26,active
429,429,savings,EUR,2023-07-07,closed
430,430,current,EUR,2024-04-11,active
431,431,savings,AUD,2023-11-18,active
432,432,savings,EUR,2023-10-10,active
433,433,current,EUR,2024-07-22,active
434,434,current,CAD,2024-06-29,active
435,435,savings,GBP,2024-02-10,active
436,436,savings,EUR,2024-07-31,active
437,437,savings,GBP,2023-06-14,active
438,438,current,EUR,2024-05-14,active
439,439,current,EUR,2024-05-22,active
440,440,current,AUD,2024-07-21,active
441,441,current,EUR,2024-12-24,active
442,442,merchant,GBP,2024-09-06,active
443,443,savings,EUR,2023-08-07,suspended
444,444,current,GBP,2024-06-06,active
445,445,current,CAD,2024-12-14,active
446,446,current,EUR,2024-10-21,active
447,447,current,AUD,2024-12-22,active
448,448,savings,EUR,2024-09-06,closed
449,449,savings,CAD,2024-08-03,active
450,450,current,EUR,2024-08-27,active
451,451,current,AUD,2024-11-05,active
452,452,current,AUD,2024-07-13,active
453,453,current,CAD,2024-08-18,active
454,454,savings,CAD,2024-02-14,active
455,455,current,GBP,2024-04-28,active
456,456,current,EUR,2024-12-29,active
457,457,current,AUD,2024-03-17,active
458,458,current,EUR,2024-06-09,active
459,459,savings,GBP,2024-10-11,active
460,460,current,CAD,2024-07-01,active
461,461,savings,EUR,2023-02-16,active
462,462,current,AUD,2024-11-05,active
463,463,current,CAD,2024-02-13,active
464,464,savings,EUR,2024-12-27,active
465,465,savings,EUR,2023-01-30,active
466,466,savings,EUR,2023-04-22,active
467,467,current,EUR,2024-06-16,active
468,468,current,AUD,2024-12-07,active
469,469,current,GBP,2023-12-03,active
470,470,savings,EUR,2024-12-22,closed
471,471,current,EUR,2024-12-29,active
472,472,savings,EUR,2024-10-24,active
473,473,current,EUR,2024-07-14,active
474,474,current,EUR,2023-12-18,active
475,475,current,GBP,2024-01-10,active
476,476,current,CAD,2023-09-29,active
477,477,savings,AUD,2024-03-21,closed
478,478,current,AUD,2024-12-07,active
479,479,current,GBP,2023-12-30,active
480,480,savings,EUR,2024-05-16,active
481,481,savings,AUD,2024-09-29,active
482,482,savings,GBP,2024-10-25,active
483,483,current,AUD,2024-11-14,active
484,484,current,AUD,2024-03-25,active
485,485,savings,EUR,2022-11-07,active
486,486,savings,EUR,2024-07-23,active
487,487,savings,GBP,2024-12-14,active
488,488,current,EUR,2024-05-29,active
489,489,current,GBP,2024-05-23,active
490,490,current,AUD,2023-07-14,active
491,491,current,AUD,2024-10-08,closed
492,492,savings,EUR,2024-09-18,active
493,493,current,GBP,2024-11-06,active
494,494,savings,EUR,2024-12-14,active
495,495,savings,AUD,2024-12-03,active
496,496,current,CAD,2023-11-12,active
497,497,savings,AUD,2022-07-25,active
498,498,current,GBP,2024-08-31,active
499,499,savings,GBP,2024-06-04,active
500,500,current,GBP,2024-04-13,active
501,501,current,GBP,2024-10-26,active
502,502,current,EUR,2024-12-10,active
503,503,current,AUD,2024-07-22,active
504,504,current,GBP,2022-09-11,active
505,505,savings,AUD,2024-04-05,active
506,506,current,CAD,2024-04-02,active
507,507,current,EUR,2024-12-03,active
508,508,current,EUR,2024-06-20,suspended
509,509,current,EUR,2023-03-27,active
510,510,savings,GBP,2023-05-28,active
511,511,current,AUD,2023-03-10,active
512,512,current,CAD,2024-11-16,active
513,513,current,EUR,2024-12-15,active
514,514,current,AUD,2024-10-07,active
515,515,savings,AUD,2024-11-19,active
516,516,current,CAD,2023-02-23,closed
517,517,current,AUD,2023-08-04,active
518,518,current,CAD,2024-06-13,active
519,519,savings,GBP,2024-09-13,active
520,520,savings,AUD,2023-08-13,active
521,521,current,EUR,2024-12-20,active
522,522,current,GBP,2024-03-18,active
523,523,current,CAD,2022-12-28,active
524,524,savings,EUR,2024-04-01,active
525,525,current,EUR,2022-12-15,active
526,526,current,EUR,2024-09-27,active
527,527,current,GBP,2024-12-22,suspended
528,528,current,AUD,2024-03-20,active
529,529,current,EUR,2023-06-14,active
530,530,current,EUR,2024-10-19,active
531,531,current,AUD,2024-06-25,active
532,532,savings,AUD,2023-04-12,active
533,533,current,EUR,2024-11-12,active
534,534,current,AUD,2024-01-17,active
535,535,savings,CAD,2024-02-12,active
536,536,current,CAD,2024-09-03,active
537,537,current,GBP,2023-08-05,active
538,538,savings,AUD,2024-07-12,active
539,539,current,EUR,2024-12-16,active
540,540,current,CAD,2024-10-27,active
541,541,savings,AUD,2024-10-05,active
542,542,savings,GBP,2024-10-25,active
543,543,savings,CAD,2024-12-31,active
544,544,savings,EUR,2024-01-07,active
545,545,current,EUR,2024-12-02,active
546,546,savings,AUD,2024-08-18,active
547,547,current,EUR,2023-07-04,active
548,548,savings,CAD,2024-05-05,closed
549,549,savings,EUR,2024-08-24,active
550,550,current,EUR,2024-12-05,active
551,551,savings,EUR,2024-07-28,active
552,552,current,CAD,2024-01-13,active
553,553,current,EUR,2024-09-17,active
554,554,current,AUD,2024-10-10,active
555,555,current,GBP,2023-10-21,active
556,556,current,GBP,2022-09-26,active
557,557,savings,CAD,2023-04-01,active
558,558,current,EUR,2024-10-22,active
559,559,merchant,GBP,2024-06-17,active
560,560,savings,EUR,2024-10-15,active
561,561,savings,CAD,2024-10-31,suspended
562,562,current,AUD,2024-01-17,active
563,563,savings,CAD,2022-07-05,active
564,564,current,CAD,2022-04-12,active
565,565,current,CAD,2023-02-22,active
566,566,savings,EUR,2024-10-01,active
567,567,current,EUR,2024-12-14,active
568,568,current,AUD,2024-09-06,active
569,569,current,AUD,2024-11-27,closed
570,570,savings,EUR,2023-10-07,active
571,571,current,EUR,2024-10-30,active
572,572,savings,CAD,2024-03-16,closed
573,573,savings,CAD,2024-09-03,active
574,574,current,AUD,2023-09-07,active
575,575,current,CAD,2022-11-05,suspended
576,576,savings,EUR,2023-06-21,active
577,577,current,CAD,2024-10-26,active
578,578,current,EUR,2022-08-16,active
579,579,current,EUR,2024-04-23,active
580,580,current,GBP,2024-10-23,active
581,581,savings,EUR,2024-01-06,active
582,582,current,CAD,2023-03-20,active
583,583,merchant,CAD,2024-01-21,active
584,584,savings,EUR,2024-11-01,active
585,585,current,CAD,2024-04-18,active
586,586,savings,EUR,2024-12-10,active
587,587,current,EUR,2024-09-25,active
588,588,current,EUR,2024-12-19,active
589,589,current,EUR,2024-08-10,suspended
590,590,current,GBP,2024-09-18,active
591,591,current,CAD,2023-02-03,active
592,592,current,GBP,2024-03-27,active
593,593,savings,AUD,2024-11-30,active
594,594,current,GBP,2023-11-04,active
595,595,current,EUR,2024-08-02,active
596,596,current,CAD,2024-12-08,active
597,597,savings,EUR,2022-10-10,closed
598,598,current,EUR,2024-08-22,active
599,599,current,AUD,2024-02-09,active
600,600,current,CAD,2024-12-04,active
601,601,current,EUR,2024-12-13,active
602,602,current,GBP,2024-02-03,active
603,603,current,GBP,2024-03-31,active
604,604,current,EUR,2024-04-15,active
605,605,savings,GBP,2024-11-01,active
606,606,savings,GBP,2024-08-21,active
607,607,current,EUR,2024-03-11,active
608,608,current,AUD,2024-12-08,active
609,609,current,AUD,2024-02-25,active
610,610,merchant,EUR,2023-11-30,active
611,611,current,AUD,2024-07-31,active
612,612,merchant,AUD,2024-10-04,active
613,613,current,CAD,2023-05-20,active
614,614,merchant,EUR,2024-12-21,active
615,615,merchant,EUR,2023-07-01,active
616,616,current,AUD,2024-08-28,active
617,617,current,AUD,2024-06-04,active
618,618,current,CAD,2024-11-30,active
619,619,current,GBP,2022-12-22,active
620,620,savings,CAD,2024-08-02,active
621,621,current,CAD,2024-01-29,active
622,622,current,EUR,2024-08-10,active
623,623,savings,AUD,2024-10-15,active
624,624,savings,AUD,2024-12-19,active
625,625,savings,AUD,2023-08-19,active
626,626,current,CAD,2022-12-28,active
627,627,savings,GBP,2024-06-24,active
628,628,current,GBP,2024-12-29,active
629,629,savings,CAD,2024-07-12,active
630,630,current,EUR,2022-11-01,active
631,631,current,EUR,2023-07-22,active
632,632,savings,AUD,2024-11-07,active
633,633,savings,EUR,2024-10-05,closed
634,634,savings,EUR,2023-11-15,active
635,635,savings,CAD,2024-08-09,active
636,636,current,EUR,2024-05-27,active
637,637,current,EUR,2024-03-07,active
638,638,current,EUR,2024-08-03,active
639,639,savings,AUD,2024-12-29,active
640,640,current,EUR,2024-05-22,active
641,641,savings,EUR,2024-12-15,active
642,642,current,EUR,2023-02-17,active
643,643,merchant,AUD,2024-05-23,active
644,644,savings,GBP,2024-11-18,active
645,645,current,CAD,2024-09-17,closed
646,646,savings,EUR,2024-07-01,active
647,647,current,EUR,2024-02-01,active
648,648,current,GBP,2024-02-18,active
649,649,current,AUD,2024-02-27,active
650,650,current,AUD,2024-11-23,active
651,651,savings,GBP,2024-12-19,active
652,652,current,GBP,2023-08-25,active
653,653,savings,GBP,2023-04-13,active
654,654,savings,AUD,2024-11-16,active
655,655,savings,EUR,2024-07-01,active
656,656,current,EUR,2024-08-13,active
657,657,current,GBP,2023-10-09,active
658,658,current,CAD,2024-07-16,active
659,659,merchant,EUR,2023-10-31,active
660,660,savings,CAD,2024-12-25,active
661,661,current,CAD,2023-05-11,active
662,662,current,EUR,2024-03-01,active
663,663,savings,GBP,2023-11-18,active
664,664,current,CAD,2023-10-17,active
665,665,current,EUR,2023-02-03,active
666,666,current,EUR,2024-03-29,active
667,667,merchant,EUR,2024-08-23,active
668,668,current,EUR,2024-08-26,active
669,669,savings,EUR,2024-05-11,suspended
670,670,savings,GBP,2024-12-09,active
671,671,current,EUR,2024-06-20,active
672,672,current,GBP,2024-01-07,active
673,673,merchant,EUR,2023-09-23,active
674,674,current,GBP,2023-12-30,active
675,675,current,EUR,2024-05-29,active
676,676,current,AUD,2024-10-27,active
677,677,savings,AUD,2024-09-16,active
678,678,savings,EUR,2023-05-26,closed
679,679,savings,AUD,2023-10-05,active
680,680,current,EUR,2023-04-28,active
681,681,savings,GBP,2022-12-17,active
682,682,current,EUR,2024-06-28,suspended
683,683,savings,CAD,2023-11-23,active
684,684,savings,EUR,2024-12-04,active
685,685,current,EUR,2024-04-28,active
686,686,savings,EUR,2024-12-08,active
687,687,current,AUD,2024-11-17,active
688,688,savings,EUR,2024-07-14,active
689,689,current,EUR,2024-04-18,active
690,690,savings,GBP,2023-05-13,active
691,691,current,AUD,2024-12-09,active
692,692,savings,EUR,2023-01-24,active
693,693,current,EUR,2024-09-26,closed
694,694,current,EUR,2024-09-13,active
695,695,savings,AUD,2023-09-30,active
696,696,savings,CAD,2024-07-26,active
697,697,current,EUR,2023-09-19,suspended
698,698,current,CAD,2024-10-25,active
699,699,savings,GBP,2024-10-01,active
700,700,current,EUR,2023-11-20,active
701,701,current,GBP,2024-08-15,active
702,702,current,EUR,2023-12-17,active
703,703,current,EUR,2024-04-29,active
704,704,current,GBP,2024-12-14,suspended
705,705,savings,EUR,2024-12-07,active
706,706,current,AUD,2023-09-26,active
707,707,current,GBP,2024-06-22,active
708,708,current,EUR,2024-07-31,active
709,709,savings,EUR,2024-09-09,active
710,710,current,AUD,2024-10-31,active
711,711,current,EUR,2024-09-29,active
712,712,current,EUR,2024-04-10,active
713,713,savings,AUD,2024-02-06,active
