merchant_id,merchant_name,category,country,registration_date,risk_tier
138,Frye Inc,Entertainment,France,2024-11-13,low
139,White-Moore,Travel,Australia,2024-06-03,low
140,"Browning, Lewis and Jenkins",Entertainment,Germany,2022-04-17,low
141,Moses Ltd,Services,India,2022-03-02,low
142,Lloyd-Sandoval,Utilities,Singapore,2024-10-03,low
143,"Jones, Turner and Tran",Travel,France,2022-06-08,low
144,Young and Sons,Retail,France,2023-08-27,low
145,Valdez-Park,Entertainment,United States,2023-02-17,low
146,Clarke PLC,Entertainment,France,2024-07-03,low
147,Flores LLC,Food & Beverage,Singapore,2023-01-16,low
148,Butler-Burns,Healthcare,Japan,2024-05-21,low
149,"Ford, Manning and Snyder",Healthcare,Germany,2022-09-24,low
150,Morton LLC,Healthcare,Singapore,2022-02-21,low
151,Mcmahon PLC,Electronics,Brazil,2023-11-11,low
152,Green-King,Electronics,Singapore,2022-04-11,low
153,Carr-Hardy,Healthcare,France,2022-06-02,low
154,Barry PLC,Utilities,Germany,2024-04-30,low
155,"Gonzales, Lopez and Thompson",Electronics,Germany,2024-09-01,low
156,Martin LLC,Food & Beverage,Singapore,2022-06-25,medium
157,Estrada PLC,Utilities,Australia,2023-03-30,low
158,Wolf-Lozano,Healthcare,India,2024-10-12,medium
159,"Rodriguez, Henry and Woodard",Food & Beverage,Brazil,2022-10-10,low
160,Taylor-Bean,Utilities,Australia,2024-10-31,low
161,"Sanchez, Hernandez and Burnett",Travel,Japan,2024-11-16,medium
162,Taylor LLC,Electronics,India,2023-08-21,low
163,Daniel-Barber,Entertainment,Germany,2024-02-12,low
164,Kelley and Sons,Entertainment,France,2023-07-01,low
165,Ware LLC,Entertainment,Australia,2024-03-09,low
166,"Burns, Cochran and Parks",Retail,Canada,2022-09-04,high
167,Stone-Hunter,Entertainment,Brazil,2023-11-13,low
168,"Gonzales, Sutton and Steele",Travel,Singapore,2022-08-11,low
169,"Bush, Watson and Robertson",Electronics,India,2024-04-21,low
170,Young PLC,Entertainment,Brazil,2023-08-21,low
171,Glass-Lindsey,Retail,France,2023-03-15,low
172,Harris LLC,Travel,Canada,2024-06-14,low
173,Young-Hughes,Retail,Japan,2024-02-08,low
174,Briggs PLC,Travel,United States,2024-12-09,low
175,Rodriguez-Jones,Travel,Brazil,2024-08-05,medium
176,Finley Ltd,Retail,India,2024-10-25,low
177,"Roach, Dillon and Johnson",Electronics,United Kingdom,2023-04-27,low
178,Day and Sons,Utilities,United States,2022-12-07,low
179,"Mcmahon, Curry and Beck",Food & Beverage,Brazil,2023-08-19,low
180,Turner Group,Retail,United Kingdom,2024-04-06,low
181,Valdez-Moss,Food & Beverage,Australia,2023-10-17,low
182,Brown and Sons,Services,Germany,2022-11-01,low
183,Ray Group,Retail,India,2022-01-07,low
184,Clark PLC,Services,United States,2023-11-22,high
185,Davis-Ponce,Healthcare,Germany,2024-12-07,low
186,Sanders Ltd,Utilities,United Kingdom,2022-04-15,low
187,Dennis Inc,Retail,United States,2024-06-02,medium
188,Moore Ltd,Travel,Singapore,2022-05-17,low
189,"Choi, Ortiz and Goodwin",Electronics,United Kingdom,2024-06-21,low
190,Brown PLC,Retail,Canada,2023-08-24,low
191,"Nunez, Wilson and Reyes",Food & Beverage,Singapore,2024-08-06,low
192,Anderson and Sons,Travel,Japan,2022-06-23,low
193,Martinez Ltd,Electronics,Singapore,2024-07-13,low
194,Griffin Ltd,Food & Beverage,Australia,2023-06-23,low
195,Stanley-Schaefer,Retail,Singapore,2023-01-26,low
196,Randolph-Gonzalez,Entertainment,Singapore,2022-02-13,low
197,"Francis, Lewis and Carter",Electronics,Japan,2022-11-19,low
198,Reynolds LLC,Utilities,Brazil,2024-06-10,low
199,Herrera Ltd,Services,United States,2022-08-25,low
200,Gibson Ltd,Food & Beverage,Japan,2022-03-16,low
201,Frank-Garcia,Utilities,United States,2023-01-31,low
202,Thompson-Davis,Electronics,France,2024-12-14,low
203,Clarke Ltd,Food & Beverage,United Kingdom,2022-10-10,low
204,Garrett-Taylor,Services,United Kingdom,2023-05-09,medium
205,Heath-Ray,Retail,Canada,2022-11-20,low
206,Hendrix-Hernandez,Electronics,United States,2023-08-20,low
207,Bennett-Smith,Travel,Canada,2022-06-23,low
208,"Lee, Bradford and Vang",Utilities,Australia,2023-11-08,low
209,Griffith-Franco,Retail,United States,2024-08-31,low
210,Cochran Ltd,Services,Singapore,2024-09-20,low
211,"Smith, Galvan and Baldwin",Electronics,United States,2024-02-21,low
212,"Carlson, Anderson and Neal",Services,Australia,2024-07-03,medium
213,Colon-Frank,Electronics,India,2022-05-31,low
214,Novak Inc,Food & Beverage,United Kingdom,2022-04-18,low
215,Hill Group,Electronics,Singapore,2024-09-21,low
216,Dunn-Fernandez,Services,India,2024-01-10,low
217,Parker-Bradshaw,Electronics,Canada,2022-09-29,low
218,Mathis LLC,Services,India,2023-03-23,low
219,Beasley and Sons,Services,India,2023-10-05,low
220,Thomas Group,Healthcare,Brazil,2022-08-31,low
221,Henderson LLC,Retail,Brazil,2023-09-19,low
222,"Martin, Hall and Simpson",Retail,Canada,2023-07-23,medium
223,Jackson PLC,Electronics,Japan,2024-12-18,low
224,Ramos Ltd,Healthcare,Singapore,2023-07-26,medium
225,Reynolds PLC,Electronics,Singapore,2024-03-03,low
226,Gutierrez and Sons,Services,Japan,2024-03-11,low
227,Heath PLC,Retail,Japan,2024-09-07,low
228,"Landry, Rodriguez and Flores",Electronics,Brazil,2022-06-11,high
229,Carey Ltd,Utilities,United Kingdom,2023-05-06,low
230,"May, Walker and Page",Retail,Brazil,2023-08-08,low
231,Johnson-Brown,Utilities,France,2023-06-18,low
232,Jensen Group,Entertainment,India,2022-04-20,low
233,Elliott-Tate,Food & Beverage,France,2023-07-13,low
234,Richardson-Orozco,Entertainment,India,2024-04-23,low
235,Dean-Wood,Food & Beverage,France,2024-07-31,low
236,"Rhodes, Bolton and Watson",Entertainment,Japan,2024-08-31,low
237,Bridges-Bautista,Retail,India,2023-10-13,high
238,Mendoza-Rodriguez,Electronics,Brazil,2022-09-11,medium
239,Murray-Smith,Services,United States,2023-05-05,low
240,Peters Inc,Entertainment,Japan,2022-03-05,low
241,"Martinez, Clark and Shaffer",Services,Japan,2022-08-24,low
242,"Sparks, Spencer and Garcia",Retail,Japan,2024-02-02,low
243,Hill-Harding,Healthcare,India,2022-01-01,medium
244,Martin-Black,Healthcare,Australia,2022-03-02,low
245,"Smith, Davis and Acosta",Electronics,Brazil,2022-12-22,high
246,West-Hernandez,Services,India,2024-09-06,low
247,Oneill Inc,Utilities,Singapore,2023-05-17,low
248,Bush-Ford,Healthcare,India,2022-05-18,low
249,Romero Group,Entertainment,Singapore,2024-04-12,low
250,Garcia-Brown,Services,United Kingdom,2024-04-06,medium
251,"Perez, Miller and Williams",Electronics,Japan,2024-03-14,low
252,Ward-Schmidt,Travel,Germany,2022-01-22,medium
253,Vasquez-Gonzalez,Entertainment,Singapore,2022-09-23,low
254,Thompson-Padilla,Services,France,2022-02-25,low
255,Smith Group,Services,Singapore,2024-01-21,low
256,Bailey PLC,Utilities,Brazil,2024-09-23,low
257,"Kelly, Simmons and Jordan",Food & Beverage,Germany,2024-03-18,low
258,Crawford-Harris,Electronics,France,2023-11-21,low
259,"Smith, Gonzalez and Lambert",Entertainment,United Kingdom,2024-08-10,low
260,Lawson and Sons,Retail,Japan,2022-03-06,low
261,Weeks-Massey,Entertainment,Japan,2023-05-27,medium
262,Kim-Hernandez,Entertainment,Japan,2022-01-19,medium
263,Richards-Warren,Entertainment,United States,2023-12-29,low
264,Lyons Group,Services,Australia,2022-02-23,low
265,Johnson LLC,Food & Beverage,Singapore,2024-12-10,low
266,Perry-Garcia,Services,Brazil,2022-03-22,low
267,Sims-Johnson,Travel,Brazil,2022-12-13,medium
268,Pope Inc,Electronics,United Kingdom,2023-10-10,low
269,Chapman-Estrada,Utilities,United States,2023-07-12,medium
270,Sloan Inc,Travel,Australia,2024-07-23,low
271,Curry LLC,Utilities,Canada,2024-08-04,low
272,"Young, Tate and Arnold",Services,United Kingdom,2022-12-24,low
273,"Hart, Graves and Zimmerman",Electronics,Germany,2023-04-09,low
274,"Adams, Smith and Wright",Food & Beverage,Singapore,2023-09-29,medium
275,"Jones, Mueller and Williams",Retail,United Kingdom,2023-07-03,low
276,"Lynch, Johnson and Lawrence",Food & Beverage,India,2024-03-17,medium
277,"Greer, Underwood and Noble",Travel,Singapore,2022-12-25,medium
278,Logan-Rice,Food & Beverage,United States,2024-04-28,low
279,Fowler-Wong,Retail,Germany,2022-06-09,low
280,Ford Group,Travel,India,2023-05-19,low
281,"Martinez, Perry and Morrison",Services,Australia,2022-10-15,low
282,"Carter, Jenkins and Reyes",Services,Australia,2024-01-12,low
283,Hernandez Group,Travel,Canada,2022-05-07,low
284,Cisneros-Washington,Utilities,Singapore,2024-07-20,low
285,"Adams, Hall and Thompson",Services,France,2023-09-12,low
286,Kim-Clark,Travel,Brazil,2024-11-16,low
287,"Rasmussen, Santiago and Larson",Travel,France,2023-03-07,low
288,"Carroll, Wilson and Bishop",Electronics,Australia,2023-06-21,low
289,Jones LLC,Food & Beverage,Singapore,2022-09-14,low
290,Stephenson Ltd,Services,United States,2024-10-13,low
291,Johnson Group,Travel,Germany,2024-11-03,low
292,Robertson PLC,Healthcare,Australia,2022-05-30,low
293,Garcia Group,Utilities,United States,2024-08-06,low
294,Randall Ltd,Travel,Japan,2023-10-12,low
295,"Hopkins, Mccoy and Guerrero",Entertainment,France,2022-04-17,low
296,Davis-Galvan,Food & Beverage,France,2024-05-05,low
297,"Acevedo, Lloyd and Young",Travel,Canada,2022-05-02,low
298,"Miles, Gilbert and Palmer",Retail,Singapore,2022-08-11,low
299,"Dyer, Deleon and West",Food & Beverage,Brazil,2024-07-19,low
300,Merritt Inc,Healthcare,Canada,2023-11-04,low
301,Estes-Simon,Retail,Germany,2022-09-01,low
302,"Gordon, Matthews and Roberts",Utilities,Singapore,2023-09-26,low
303,"Romero, Ochoa and York",Utilities,France,2022-09-19,low
304,"Reilly, Shannon and Torres",Food & Beverage,France,2022-02-04,low
305,Martin Inc,Entertainment,Germany,2022-08-09,low
306,Arroyo-Stephenson,Retail,India,2024-10-13,low
307,"Palmer, Ho and Duncan",Food & Beverage,Germany,2022-02-25,low
308,Compton-Brooks,Electronics,France,2023-03-05,medium
309,Ryan Inc,Entertainment,Singapore,2022-10-19,low
310,Green Inc,Food & Beverage,Australia,2024-01-24,low
311,Wells-Kennedy,Services,Canada,2024-10-31,low
312,Poole and Sons,Healthcare,Australia,2024-02-27,low
313,James Inc,Healthcare,Japan,2023-03-26,low
314,Larson-Davis,Electronics,Brazil,2023-05-13,low
315,"Contreras, Villa and Dixon",Utilities,Germany,2022-05-27,low
316,Craig-Garza,Food & Beverage,United Kingdom,2024-10-30,low
317,Greene Group,Healthcare,Japan,2024-06-19,low
318,"Mckee, Hernandez and Barber",Entertainment,Japan,2022-01-31,low
319,Lane-Duarte,Food & Beverage,India,2023-01-04,low
320,Beck-Williams,Electronics,Brazil,2024-07-01,low
321,Chapman and Sons,Retail,United Kingdom,2024-06-04,low
322,"Wilson, Conway and Davis",Utilities,Singapore,2022-02-06,low
323,"Henderson, Gomez and Williams",Utilities,Australia,2024-05-09,low
324,"May, Thompson and Mitchell",Food & Beverage,Singapore,2024-08-15,low
325,"Tran, Walker and Sharp",Electronics,Canada,2024-07-05,low
326,Rodriguez-Galvan,Healthcare,Australia,2024-12-01,low
327,"Yates, Ballard and Santiago",Food & Beverage,United States,2022-03-07,low
328,White-Bowman,Retail,India,2023-12-01,medium
329,"Howe, Miles and Campbell",Entertainment,United States,2023-06-01,low
330,"Bennett, Payne and Le",Retail,India,2023-08-12,low
331,"Patterson, Baker and Hunt",Retail,Singapore,2023-06-16,medium
332,Brown Inc,Utilities,India,2024-10-10,low
333,Hoffman Inc,Entertainment,United States,2022-11-02,low
334,Thomas-Zavala,Utilities,France,2022-01-27,low
335,Carpenter-Sanchez,Electronics,United Kingdom,2024-09-17,low
336,"Russell, Daniels and Martinez",Retail,United Kingdom,2022-05-19,low
337,"Ponce, Choi and Osborne",Electronics,Singapore,2024-09-27,medium
338,Nichols-Patel,Travel,Singapore,2023-06-02,medium
339,"Perez, Williams and Graham",Services,United Kingdom,2024-03-14,low
340,Foster-Hernandez,Services,France,2024-09-17,low
341,"Wallace, Johnston and Coleman",Retail,India,2023-03-27,low
342,"Whitaker, Davis and Jones",Healthcare,Australia,2024-05-10,low
343,Willis Ltd,Retail,Japan,2023-05-23,low
344,Howard PLC,Electronics,United States,2022-01-11,low
345,"Briggs, Lutz and Marks",Services,United Kingdom,2024-12-10,low
346,"Russell, Hall and Alvarez",Travel,Australia,2022-11-21,high
347,Kline-Peterson,Retail,United States,2024-10-05,low
348,Williams LLC,Services,Singapore,2023-07-03,low
349,Hawkins-Davis,Retail,Japan,2024-02-13,low
350,Chan-Graves,Utilities,Canada,2023-04-27,low
351,Ward LLC,Healthcare,Canada,2023-03-11,low
352,Simpson-Baker,Utilities,Singapore,2023-06-01,high
353,"Davis, Stewart and Johnson",Healthcare,United Kingdom,2022-03-20,low
354,Terry LLC,Services,United States,2024-05-30,low
355,French Group,Electronics,India,2024-07-17,low
356,Bruce-Harrison,Entertainment,United Kingdom,2023-06-08,low
357,"Washington, Buck and Adkins",Travel,United States,2022-05-03,low
358,"Martinez, Green and Medina",Retail,Japan,2023-06-11,low
359,"Mccoy, Payne and Huber",Retail,United Kingdom,2022-07-14,low
360,"Smith, Morales and Whitaker",Food & Beverage,Singapore,2023-07-10,low
361,Davis Inc,Services,Australia,2024-01-29,low
362,Nelson-Black,Food & Beverage,India,2022-02-13,medium
363,Cobb LLC,Electronics,Singapore,2024-08-02,medium
364,"Lopez, Foster and Bennett",Food & Beverage,Brazil,2023-07-27,low
365,Gardner-Jensen,Travel,United States,2023-03-22,low
366,"Williamson, Herman and Hale",Healthcare,Japan,2023-08-02,low
367,"Foster, Montgomery and Alexander",Services,Australia,2022-11-29,low
368,"James, Edwards and Stafford",Retail,Japan,2022-01-10,low
369,Murphy PLC,Electronics,Germany,2023-06-26,medium
370,Werner-Lara,Retail,France,2022-12-23,low
371,Rodriguez PLC,Healthcare,United States,2022-01-05,low
372,Bowen Ltd,Services,India,2023-12-17,low
373,Brown Ltd,Healthcare,Australia,2023-02-19,low
374,Vang-Sanchez,Services,France,2022-07-03,medium
375,Small-Williams,Electronics,Japan,2022-10-13,low
376,Jones Inc,Travel,India,2022-10-16,low
377,Vega-Brown,Electronics,United States,2023-01-30,low
378,"Medina, Wise and Aguirre",Food & Beverage,Japan,2022-12-02,low
379,Fisher and Sons,Entertainment,Singapore,2023-04-07,low
380,Daugherty-Holland,Retail,Japan,2022-04-19,low
381,Robertson LLC,Utilities,Japan,2022-01-27,low
382,Watson-Brown,Services,United Kingdom,2022-08-08,low
383,Smith-Johnson,Food & Beverage,Japan,2022-02-12,low
384,"Curtis, Turner and Taylor",Electronics,United States,2024-03-25,high
385,"Mata, Wright and Williams",Healthcare,India,2022-09-17,low
386,Lutz-Fleming,Entertainment,India,2022-08-08,low
387,Floyd-Yang,Travel,United States,2024-12-23,medium
388,"Austin, Reynolds and Jenkins",Healthcare,Singapore,2024-05-28,high
389,Mccormick-Baker,Food & Beverage,Canada,2022-06-24,low
390,Wilkins LLC,Services,India,2023-02-18,low
391,Henderson-Diaz,Healthcare,United Kingdom,2022-05-29,low
392,Morgan-Stafford,Retail,Singapore,2024-12-29,low
393,"Hayes, Benton and Tate",Services,France,2024-05-08,high
394,Lee PLC,Utilities,United Kingdom,2023-08-19,low
395,"Johnson, Anderson and Vincent",Electronics,Australia,2023-09-29,low
396,Scott-Sullivan,Food & Beverage,Germany,2024-08-13,low
397,Logan-Dickerson,Entertainment,Australia,2022-12-20,low
398,Townsend LLC,Healthcare,Singapore,2024-10-03,low
399,"Roberts, Rodriguez and Chen",Electronics,Brazil,2024-02-05,low
400,"Franklin, Perez and Brown",Services,United States,2023-04-05,low
401,"Frederick, Coleman and Foley",Electronics,India,2022-03-03,low
402,Thompson LLC,Retail,Brazil,2023-12-24,low
403,Richmond Group,Retail,India,2022-06-07,low
404,Brandt-Mendoza,Travel,Brazil,2024-02-18,low
405,"Wells, Morales and Gallagher",Electronics,Canada,2023-04-03,low
406,"Jones, Johnson and Miller",Utilities,India,2024-10-03,low
407,Fletcher-Garcia,Services,United Kingdom,2022-07-07,low
408,Bartlett-Christian,Food & Beverage,Germany,2023-04-17,low
409,Ferguson-Holmes,Utilities,United Kingdom,2024-03-16,low
410,Holder-Smith,Retail,Singapore,2023-01-15,low
411,"Smith, Wells and Black",Travel,Australia,2024-04-16,low
412,Olson-Simpson,Electronics,United States,2024-12-31,low
413,"Anderson, Baxter and Thompson",Travel,Japan,2023-03-18,low
414,"Khan, Howard and Galvan",Electronics,France,2023-02-24,low
415,Galvan LLC,Food & Beverage,Singapore,2024-12-16,low
416,Taylor-Higgins,Healthcare,India,2023-05-25,low
417,Farrell-Little,Entertainment,France,2023-06-18,low
418,Jones-Cross,Services,India,2024-03-04,low
419,Brown PLC,Healthcare,France,2023-05-10,low
420,Perez-Wolf,Services,France,2024-10-20,low
421,Peterson-Jordan,Electronics,Canada,2024-03-11,low
422,"Chapman, Cruz and Goodwin",Utilities,Japan,2024-09-16,low
423,Murray LLC,Entertainment,Brazil,2023-11-19,low
424,"Jackson, Lucero and Gould",Entertainment,Japan,2022-03-24,low
425,Collins Inc,Food & Beverage,France,2024-12-13,low
426,"Grant, Potter and Gordon",Services,Canada,2024-06-16,low
427,Cox-Goodwin,Electronics,Germany,2022-07-29,medium
428,Williams-Lowe,Entertainment,Australia,2024-12-03,low
429,Scott-Delgado,Healthcare,Singapore,2024-04-04,low
430,Pearson-Morgan,Retail,France,2022-08-02,low
431,Kane Inc,Utilities,France,2024-08-15,low
432,Taylor and Sons,Entertainment,Canada,2023-09-14,low
433,Michael Group,Services,Japan,2023-11-10,medium
434,Carrillo-Mendez,Travel,Singapore,2022-12-31,low
435,"Simon, Henry and Bentley",Food & Beverage,United Kingdom,2024-08-02,low
436,"Ochoa, Miller and Gonzales",Food & Beverage,Canada,2023-09-01,low
437,Duran-Sanchez,Healthcare,United States,2023-11-01,low
438,Newman-Gregory,Retail,Australia,2024-06-19,low
439,Burns Inc,Food & Beverage,Japan,2022-03-31,low
440,Dillon PLC,Services,France,2024-12-31,low
441,"Gray, Jackson and Jones",Utilities,United Kingdom,2023-04-08,low
442,Gomez-Smith,Electronics,United Kingdom,2023-01-02,low
443,"Brown, Bradford and Lawson",Retail,India,2023-04-27,low
444,Rivers-Serrano,Utilities,Japan,2022-12-28,low
445,Murphy-Reid,Entertainment,France,2024-01-13,low
446,Hughes and Sons,Travel,Singapore,2022-02-01,low
447,Ball-Shaw,Food & Beverage,Germany,2023-09-26,low
448,Adams and Sons,Services,Australia,2023-09-30,low
449,Abbott-Ibarra,Utilities,United Kingdom,2022-07-31,low
450,Johnson Ltd,Travel,United States,2022-07-24,low
451,"Yang, Robertson and Espinoza",Healthcare,Germany,2022-06-12,low
452,Alexander-Wagner,Electronics,Australia,2024-11-30,low
453,"Stein, Kirby and Reed",Retail,United Kingdom,2022-10-03,low
