transaction_id,account_id,merchant_id,amount,currency,transaction_date,transaction_type,status
137,3929,24,4455.71,EUR,2024-06-21 18:34:03,purchase,completed
138,5272,670,3239.65,GBP,2024-11-22 05:24:20,purchase,completed
139,1193,529,227.29,EUR,2024-07-13 09:40:21,refund,pending
140,2001,,686.79,AUD,2024-05-26 09:23:48,transfer,completed
141,497,67,566.49,AUD,2024-04-05 00:00:07,purchase,completed
142,3476,477,3211.33,AUD,2024-08-11 09:11:05,purchase,completed
143,5546,,691.33,EUR,2023-09-21 11:21:42,transfer,completed
144,3920,759,1529.57,GBP,2024-12-11 00:42:08,purchase,completed
145,5104,531,4682.74,CAD,2024-10-21 15:39:37,purchase,completed
146,2880,314,390.2,CAD,2024-03-27 21:37:27,purchase,completed
147,127,633,3113.2,CAD,2024-12-24 14:44:27,purchase,completed
148,5740,421,566.8,GBP,2024-11-25 00:02:28,purchase,completed
149,2316,,1781.55,GBP,2024-10-19 10:03:42,transfer,completed
150,373,496,245.3,EUR,2024-01-26 02:09:56,refund,failed
151,5999,584,3625.16,AUD,2024-02-19 04:08:44,purchase,completed
152,5880,312,1162.26,CAD,2024-09-20 06:48:35,purchase,completed
153,610,681,2358.88,EUR,2024-07-07 12:47:55,purchase,completed
154,3386,619,4980.07,AUD,2024-07-30 15:02:31,purchase,completed
155,4752,506,2914.9,EUR,2024-11-19 14:08:15,purchase,failed
156,4053,,2579.39,AUD,2024-09-11 10:41:23,transfer,completed
157,3296,,3619.79,CAD,2024-09-09 04:13:25,transfer,completed
158,4174,212,2308.97,EUR,2024-10-25 02:51:17,purchase,completed
159,2838,711,2298.15,EUR,2023-08-09 16:42:01,purchase,completed
160,4078,62,781.59,GBP,2024-03-23 08:40:19,purchase,completed
161,2134,237,2208.36,EUR,2024-12-24 19:16:10,purchase,completed
162,3327,774,1986.8,CAD,2023-08-29 13:03:18,purchase,pending
163,3757,70,2630.88,EUR,2024-10-01 03:34:33,purchase,completed
164,5873,475,90.03,EUR,2024-11-02 20:14:18,refund,completed
165,4243,241,3458.37,EUR,2024-12-09 09:23:44,purchase,completed
166,5194,533,101.49,AUD,2024-11-16 10:26:31,refund,completed
167,1750,,1760.14,GBP,2024-09-13 08:40:49,transfer,completed
168,4893,616,3918.64,EUR,2024-09-02 20:51:01,purchase,completed
169,3621,216,134.98,CAD,2024-04-18 09:40:40,purchase,completed
170,3973,155,2354.31,GBP,2024-10-09 03:49:59,purchase,failed
171,4815,568,1787.53,AUD,2024-06-04 03:40:11,purchase,completed
172,1042,662,4575.61,EUR,2024-10-26 01:23:23,purchase,completed
173,857,442,1604.26,EUR,2024-12-26 15:18:40,purchase,failed
174,3306,222,2189.39,AUD,2024-12-27 04:48:56,purchase,completed
175,1108,75,18.64,GBP,2024-04-03 00:11:08,purchase,completed
176,4677,161,3570.64,CAD,2024-12-18 01:29:10,purchase,failed
177,5625,49,3114.92,EUR,2024-12-26 23:17:32,purchase,completed
178,1900,245,4956.59,GBP,2024-11-11 05:23:02,purchase,failed
179,4694,,976.44,EUR,2024-10-03 12:46:53,transfer,completed
180,3068,582,1941.95,CAD,2024-11-26 13:46:22,purchase,completed
181,5514,280,3347.54,GBP,2024-12-26 10:58:34,purchase,completed
182,3252,761,137.24,EUR,2024-11-16 18:58:16,purchase,completed
183,5550,414,3733.95,CAD,2023-11-30 01:34:36,purchase,completed
184,3375,123,116.01,AUD,2024-12-09 10:07:38,refund,completed
185,1465,363,1172.54,AUD,2024-11-04 13:01:21,purchase,failed
186,5561,508,3950.35,EUR,2024-10-26 09:13:05,purchase,completed
187,3731,260,3089.88,GBP,2024-11-26 05:10:09,purchase,failed
188,2724,301,822.8,AUD,2024-12-19 18:12:46,purchase,completed
189,271,,3455.07,EUR,2023-10-13 15:49:25,transfer,completed
190,4341,529,287.71,AUD,2024-10-31 06:57:32,purchase,completed
191,1693,595,752.82,GBP,2023-11-04 20:22:11,purchase,completed
192,1823,344,222.14,GBP,2024-10-22 05:09:13,purchase,completed
193,4295,271,1996.21,AUD,2024-10-14 17:43:39,purchase,completed
194,284,429,525.05,EUR,2024-10-31 03:59:59,purchase,completed
195,3002,254,982.74,CAD,2024-08-09 20:19:08,purchase,completed
196,3841,,3352.02,AUD,2024-11-12 04:07:56,transfer,completed
197,3159,686,1900.9,EUR,2024-10-17 23:48:02,purchase,completed
198,5003,376,1318.42,CAD,2024-07-03 21:48:41,purchase,completed
199,365,,835.62,EUR,2024-10-29 06:31:29,transfer,completed
200,3756,798,935.03,GBP,2024-11-16 07:28:52,purchase,completed
201,3253,551,3800.4,CAD,2024-02-21 10:51:25,purchase,completed
202,708,,1601.81,EUR,2024-08-21 18:37:02,transfer,completed
203,1928,73,2543.89,CAD,2024-09-01 02:52:31,purchase,completed
204,2848,596,386.81,CAD,2024-11-14 21:29:11,purchase,completed
205,1144,146,277.6,EUR,2024-12-01 04:08:56,refund,completed
206,2108,490,1872.46,AUD,2024-05-06 02:31:25,purchase,completed
207,1310,,2602.79,CAD,2024-12-23 11:53:33,transfer,completed
208,1930,222,1175.26,AUD,2024-09-11 13:00:31,purchase,completed
209,391,484,155.82,EUR,2024-08-19 06:46:52,refund,completed
210,5207,399,3222.6,GBP,2024-09-04 16:25:24,purchase,completed
211,182,53,127.2,CAD,2024-09-24 18:23:26,purchase,completed
212,1173,419,3295.41,CAD,2024-10-05 11:00:39,purchase,completed
213,3854,241,4474.02,GBP,2024-12-25 00:39:09,purchase,completed
214,713,484,1444.13,AUD,2024-06-20 04:43:07,purchase,completed
215,4087,418,4946.81,CAD,2024-11-27 18:11:40,purchase,completed
216,5097,427,3707.39,EUR,2024-03-09 18:20:16,purchase,completed
217,2019,,2554.29,CAD,2024-08-31 12:46:36,transfer,completed
218,2535,528,3058.98,EUR,2024-01-18 19:53:22,purchase,completed
219,5465,519,3619.43,GBP,2024-12-24 19:34:35,purchase,completed
220,5120,151,4976.39,AUD,2024-10-13 07:25:46,purchase,completed
221,2698,266,681.29,AUD,2024-12-28 04:11:30,purchase,completed
222,1097,323,4983.35,GBP,2024-12-10 05:11:57,purchase,completed
223,2623,,938.8,GBP,2023-12-04 03:25:39,transfer,completed
224,4643,682,1973.76,GBP,2024-10-26 08:23:06,purchase,completed
225,562,304,4166.39,AUD,2024-08-20 00:34:25,purchase,completed
226,871,739,2321.98,AUD,2024-12-02 23:21:52,purchase,completed
227,5255,491,329.42,AUD,2024-12-27 12:25:47,purchase,completed
228,4195,4,2867.18,AUD,2024-12-22 04:12:47,purchase,completed
229,715,56,3876.62,CAD,2024-04-24 12:21:59,purchase,failed
230,3545,388,2291.17,GBP,2024-12-31 10:57:50,purchase,completed
231,3445,771,2902.73,EUR,2024-12-02 11:22:39,purchase,failed
232,4891,759,919.74,AUD,2024-12-01 13:37:28,purchase,completed
233,2251,356,3431.73,EUR,2024-10-14 18:45:36,purchase,completed
234,1921,697,1260.46,CAD,2024-11-01 21:00:47,purchase,completed
235,4974,510,2340.12,AUD,2024-12-05 13:09:27,purchase,completed
236,5802,191,3398.96,EUR,2024-12-31 08:09:11,purchase,completed
237,5290,197,292.12,AUD,2024-12-05 22:50:37,refund,completed
238,5591,465,884.11,CAD,2024-08-13 03:02:42,purchase,failed
239,4428,754,1029.74,CAD,2023-11-13 23:35:20,purchase,completed
240,829,331,438.8,CAD,2024-11-20 09:20:13,purchase,completed
241,5327,231,328.13,EUR,2024-11-22 23:12:43,purchase,completed
242,638,778,107.73,EUR,2024-08-19 12:14:59,refund,completed
243,698,655,3169.16,CAD,2024-12-09 08:55:13,purchase,failed
244,1363,558,173.58,EUR,2024-11-05 09:06:31,refund,completed
245,5522,584,4733.01,CAD,2024-06-01 01:25:59,purchase,completed
246,5947,178,4646.32,EUR,2024-11-23 10:49:35,purchase,failed
247,2840,704,4900.54,AUD,2024-05-21 03:43:35,purchase,completed
248,5438,379,4707.21,GBP,2024-07-09 16:05:27,purchase,completed
249,1602,347,2586.96,EUR,2024-10-17 06:13:58,purchase,completed
250,1828,84,132.17,EUR,2024-08-17 14:44:18,refund,completed
251,89,21,2421.01,EUR,2024-07-27 08:15:14,purchase,completed
252,5688,718,1299.05,CAD,2024-12-23 12:30:05,purchase,completed
253,4961,465,3947.39,GBP,2024-07-26 07:51:04,purchase,completed
254,4873,789,2255.81,CAD,2024-12-06 00:42:43,purchase,pending
255,3492,568,2150.73,EUR,2024-12-23 04:54:03,purchase,completed
256,534,,2760.22,AUD,2024-11-27 03:41:24,transfer,completed
257,3705,707,4443.36,AUD,2024-04-24 15:16:00,purchase,completed
258,4977,124,2265.8,GBP,2024-10-31 20:23:22,purchase,completed
259,10,303,3530.31,GBP,2023-10-09 12:53:06,purchase,completed
260,2228,388,2384.36,EUR,2024-09-09 07:38:55,purchase,completed
261,3605,92,1290.74,EUR,2024-12-02 18:40:03,purchase,completed
262,5408,694,3656.48,EUR,2024-10-08 19:22:25,purchase,completed
263,2705,195,580.31,GBP,2024-11-13 05:32:48,purchase,completed
264,5061,317,1014.16,CAD,2024-12-29 13:31:32,purchase,completed
265,5729,,2316.75,GBP,2024-12-20 19:37:06,transfer,completed
266,3353,,3518.36,EUR,2024-03-01 16:23:32,transfer,completed
267,1213,277,1133.68,EUR,2024-05-13 10:45:41,purchase,completed
268,1607,79,2307.83,AUD,2024-12-31 12:11:32,purchase,completed
269,3582,341,1736.14,GBP,2024-11-26 06:40:21,purchase,completed
270,2207,582,2607.34,EUR,2024-12-23 11:51:03,purchase,completed
271,5385,63,3034.09,AUD,2024-09-28 19:16:34,purchase,completed
272,5767,284,607.88,EUR,2024-08-19 16:21:20,purchase,completed
273,5742,320,4485.58,AUD,2024-12-17 19:19:58,purchase,completed
274,2158,34,2899.39,EUR,2024-07-27 02:22:16,purchase,completed
275,3190,370,2473.62,CAD,2024-09-14 09:58:09,purchase,completed
276,186,652,3453.95,AUD,2024-12-07 05:47:42,purchase,pending
277,162,390,4669.67,CAD,2024-07-07 11:16:58,purchase,completed
278,1897,,2852.12,CAD,2024-12-09 14:50:42,transfer,completed
279,2626,405,3520.26,CAD,2024-03-13 21:41:00,purchase,completed
280,807,234,87.74,AUD,2024-12-30 00:31:10,refund,completed
281,841,759,313.66,EUR,2024-06-16 23:02:17,purchase,completed
282,1253,326,142.87,AUD,2024-12-03 22:13:39,purchase,completed
283,5639,312,2206.59,CAD,2024-11-25 01:04:50,purchase,failed
284,3652,380,1610.69,GBP,2024-11-29 19:36:03,purchase,completed
285,4129,507,1725.32,GBP,2024-12-19 22:39:01,purchase,completed
286,2400,140,4123.64,EUR,2024-08-11 12:59:34,purchase,completed
287,1727,,4421.69,GBP,2023-06-15 20:35:34,transfer,completed
288,2807,298,2807.71,CAD,2024-11-28 18:58:02,purchase,completed
289,4581,433,3973.45,EUR,2024-10-07 09:05:13,purchase,completed
290,2087,763,2830.28,CAD,2024-12-09 18:02:12,purchase,completed
291,2382,641,4903.95,CAD,2024-12-09 15:43:30,purchase,completed
292,5885,,3518.01,AUD,2024-12-05 22:40:02,transfer,failed
293,3719,103,4004.4,EUR,2024-12-30 17:10:05,purchase,completed
294,3554,,336.08,GBP,2024-12-22 06:36:10,transfer,failed
295,3780,678,4028.11,AUD,2024-12-13 21:33:07,purchase,completed
296,498,409,4986.13,GBP,2024-09-19 07:58:34,purchase,completed
297,52,365,137.67,CAD,2024-12-06 21:08:51,refund,completed
298,1965,66,4517.68,EUR,2024-12-28 11:27:19,purchase,completed
299,5584,711,924.9,GBP,2024-08-27 11:18:58,purchase,completed
300,4849,18,3318.15,CAD,2024-12-20 22:25:10,purchase,completed
301,5754,487,3168.74,AUD,2024-01-14 19:09:03,purchase,completed
302,2141,25,3274.83,AUD,2024-11-25 00:38:02,purchase,completed
303,2992,,3078.95,AUD,2024-12-21 15:08:33,transfer,completed
304,1930,26,117.97,AUD,2024-10-17 20:50:56,refund,completed
305,1856,394,4850.99,CAD,2024-11-20 06:58:33,purchase,completed
306,1773,,3461.57,AUD,2024-10-05 17:42:03,transfer,completed
307,3205,571,1811.6,GBP,2024-03-12 19:36:45,purchase,completed
308,2714,115,4910.0,AUD,2024-12-01 05:01:04,purchase,completed
309,5674,316,706.88,AUD,2024-12-04 09:31:38,purchase,completed
310,467,563,257.37,EUR,2024-09-17 03:51:46,refund,completed
311,1547,463,2281.86,GBP,2024-12-31 04:10:06,purchase,completed
312,448,643,2985.4,EUR,2024-09-23 11:49:16,purchase,pending
313,1976,708,1372.26,EUR,2024-12-14 02:01:13,purchase,completed
314,1881,57,4936.35,EUR,2024-09-18 15:08:32,purchase,failed
315,4895,459,101.39,CAD,2024-10-20 05:38:21,refund,completed
316,938,58,2469.86,GBP,2024-08-24 13:13:29,purchase,completed
317,5368,163,1745.4,EUR,2024-07-04 06:44:01,purchase,completed
318,3518,169,2446.02,CAD,2024-08-14 17:39:39,purchase,completed
319,809,735,1738.75,EUR,2024-12-30 06:13:19,purchase,completed
320,5101,66,2900.69,AUD,2024-12-16 12:59:22,purchase,completed
321,5943,,2834.54,EUR,2024-12-14 19:02:37,transfer,completed
322,616,,3805.26,AUD,2024-12-02 09:31:23,transfer,completed
323,1606,,4895.42,EUR,2024-12-28 14:48:35,transfer,completed
324,3420,320,4975.72,GBP,2024-11-20 16:22:34,purchase,completed
325,4781,741,23.37,EUR,2024-12-22 21:20:43,purchase,completed
326,3333,793,2905.77,CAD,2024-07-10 01:25:29,purchase,failed
327,2762,321,3081.61,EUR,2024-09-23 03:23:37,purchase,completed
328,2715,170,2124.33,GBP,2024-08-07 16:29:00,purchase,completed
329,5001,559,18.9,CAD,2024-12-06 19:22:02,refund,completed
330,5642,644,1949.31,CAD,2024-11-10 13:53:00,purchase,completed
331,1504,428,711.96,EUR,2024-12-30 11:02:45,purchase,completed
332,1,343,874.73,EUR,2023-09-26 00:40:39,purchase,completed
333,1837,289,1328.01,EUR,2024-04-15 05:37:52,purchase,completed
334,1102,,480.52,CAD,2024-11-08 12:15:20,transfer,completed
335,4191,94,1576.26,GBP,2024-12-26 08:37:54,purchase,completed
336,5513,574,2991.87,CAD,2024-12-31 10:17:23,purchase,completed
337,4475,,1136.03,EUR,2024-12-23 07:57:40,transfer,completed
338,5413,699,107.5,CAD,2024-12-28 02:27:37,refund,failed
339,5285,733,2367.93,EUR,2024-12-28 22:21:09,purchase,completed
340,649,562,449.98,AUD,2024-05-03 00:36:44,purchase,completed
341,4712,295,4468.53,EUR,2024-10-08 07:49:04,purchase,completed
342,1720,99,1409.89,EUR,2024-12-07 10:42:00,purchase,pending
343,2640,671,2261.97,GBP,2024-12-20 12:40:54,purchase,completed
344,2206,503,1835.75,EUR,2024-12-24 00:54:45,purchase,completed
345,2145,173,445.97,AUD,2024-12-19 09:22:38,purchase,completed
346,1335,92,4631.17,GBP,2024-11-08 05:34:40,purchase,completed
347,2224,179,1622.83,EUR,2024-12-24 01:53:29,purchase,completed
348,3058,50,2239.26,EUR,2024-10-08 14:23:53,purchase,completed
349,19,389,3287.19,AUD,2024-12-04 14:53:50,purchase,completed
350,5586,283,564.61,GBP,2024-09-04 02:58:42,purchase,completed
351,824,,1025.69,EUR,2024-12-23 17:16:50,transfer,completed
352,2566,164,2422.41,EUR,2023-11-27 18:53:23,purchase,completed
353,5679,140,2079.87,CAD,2024-07-26 18:39:54,purchase,completed
354,905,258,2990.56,CAD,2024-06-22 12:36:43,purchase,completed
355,171,20,54.84,GBP,2024-12-28 20:11:31,purchase,completed
356,2901,,3814.25,AUD,2024-10-21 21:08:01,transfer,completed
357,4804,,2347.21,CAD,2024-02-09 18:07:21,transfer,completed
358,4923,,3302.57,EUR,2024-12-27 06:35:22,transfer,completed
359,3905,276,2961.69,CAD,2024-10-20 18:55:32,purchase,completed
360,6000,510,4353.67,EUR,2024-11-08 23:30:56,purchase,completed
361,4226,722,3404.16,CAD,2024-09-24 20:50:42,purchase,completed
362,1889,,4681.22,EUR,2024-09-25 15:39:20,transfer,completed
363,769,453,63.25,CAD,2024-12-09 07:10:17,purchase,completed
364,806,427,1200.71,AUD,2024-05-17 15:32:31,purchase,completed
365,3976,743,25.23,CAD,2024-12-09 19:41:02,refund,completed
366,1411,146,906.07,EUR,2024-12-28 23:03:53,purchase,completed
367,2310,326,3881.76,CAD,2024-12-04 19:31:32,purchase,completed
368,804,778,172.91,EUR,2024-12-04 08:37:22,purchase,completed
369,1157,648,932.7,GBP,2024-11-30 19:37:01,purchase,completed
370,1091,553,4003.79,GBP,2024-12-17 03:31:02,purchase,completed
371,1829,283,1048.85,GBP,2024-11-20 03:15:31,purchase,completed
372,486,341,3536.34,EUR,2024-10-18 23:42:30,purchase,completed
373,4080,118,1163.98,AUD,2024-12-14 07:15:58,purchase,completed
374,1330,160,2092.86,EUR,2024-12-09 22:31:39,purchase,completed
375,2358,463,44.45,EUR,2024-08-10 05:05:05,purchase,completed
376,1345,275,198.64,CAD,2023-07-13 14:53:49,refund,completed
377,5891,399,49.95,EUR,2024-02-28 20:21:42,refund,completed
378,953,103,4620.15,AUD,2024-12-21 07:17:16,purchase,completed
379,5642,577,414.02,CAD,2024-12-27 10:01:37,purchase,completed
380,2338,279,3343.34,CAD,2024-10-25 18:59:37,purchase,completed
381,2278,151,3293.91,CAD,2024-11-02 14:09:22,purchase,completed
382,2367,129,3394.76,EUR,2024-12-04 08:50:53,purchase,completed
383,2956,270,4066.73,EUR,2024-12-19 07:36:16,purchase,completed
384,2323,372,2425.47,GBP,2024-10-08 08:19:26,purchase,completed
385,2396,524,3781.28,CAD,2024-12-05 05:20:08,purchase,completed
386,3227,574,3052.27,GBP,2024-03-25 12:20:55,purchase,completed
387,2049,159,383.13,EUR,2024-08-20 02:30:59,purchase,failed
388,803,512,1701.82,CAD,2024-03-21 13:44:38,purchase,completed
389,5041,,663.4,GBP,2023-10-20 15:31:30,transfer,completed
390,3616,168,80.93,CAD,2024-09-24 03:23:16,refund,completed
391,2600,,3387.32,GBP,2024-11-21 00:45:13,transfer,completed
392,803,467,4568.86,CAD,2024-02-11 09:30:08,purchase,completed
393,2438,489,247.44,AUD,2024-06-05 19:30:22,purchase,completed
394,3520,,3021.05,CAD,2024-11-21 05:15:38,transfer,completed
