merchant_id,valid_from,fee_rate_bps,settlement_sla_days,valid_to
187,2024-06-02,250,3,
188,2022-05-17,150,2,
189,2024-06-21,150,2,2024-09-30
189,2024-10-01,110,2,
190,2023-08-24,150,2,
191,2024-08-06,150,2,
192,2022-06-23,150,2,
193,2024-07-13,150,2,
194,2023-06-23,150,2,
195,2023-01-26,150,2,
196,2022-02-13,150,2,
197,2022-11-19,150,2,
198,2024-06-10,150,2,
199,2022-08-25,150,2,
200,2022-03-16,150,2,
201,2023-01-31,150,2,
202,2024-12-14,150,2,
203,2022-10-10,150,2,
204,2023-05-09,250,3,
205,2022-11-20,150,2,
206,2023-08-20,150,2,2024-09-30
206,2024-10-01,110,2,
207,2022-06-23,150,2,
208,2023-11-08,150,2,
209,2024-08-31,150,2,
210,2024-09-20,150,2,
211,2024-02-21,150,2,
212,2024-07-03,250,3,
213,2022-05-31,150,2,2024-09-30
213,2024-10-01,110,2,
214,2022-04-18,150,2,
215,2024-09-21,150,2,
216,2024-01-10,150,2,
217,2022-09-29,150,2,
218,2023-03-23,150,2,
219,2023-10-05,150,2,
220,2022-08-31,150,2,
221,2023-09-19,150,2,
222,2023-07-23,250,3,
223,2024-12-18,150,2,
224,2023-07-26,250,3,
225,2024-03-03,150,2,
226,2024-03-11,150,2,
227,2024-09-07,150,2,
228,2022-06-11,400,5,2024-09-30
228,2024-10-01,360,5,
229,2023-05-06,150,2,
230,2023-08-08,150,2,
231,2023-06-18,150,2,
232,2022-04-20,150,2,
233,2023-07-13,150,2,
234,2024-04-23,150,2,
235,2024-07-31,150,2,
236,2024-08-31,150,2,
237,2023-10-13,400,5,
238,2022-09-11,250,3,
239,2023-05-05,150,2,
240,2022-03-05,150,2,
241,2022-08-24,150,2,
242,2024-02-02,150,2,
243,2022-01-01,250,3,
244,2022-03-02,150,2,
245,2022-12-22,400,5,
246,2024-09-06,150,2,
247,2023-05-17,150,2,
248,2022-05-18,150,2,
249,2024-04-12,150,2,
250,2024-04-06,250,3,
251,2024-03-14,150,2,
252,2022-01-22,250,3,
253,2022-09-23,150,2,
254,2022-02-25,150,2,
255,2024-01-21,150,2,
256,2024-09-23,150,2,
257,2024-03-18,150,2,
258,2023-11-21,150,2,
259,2024-08-10,150,2,
260,2022-03-06,150,2,
261,2023-05-27,250,3,
262,2022-01-19,250,3,
263,2023-12-29,150,2,
264,2022-02-23,150,2,
265,2024-12-10,150,2,
266,2022-03-22,150,2,
267,2022-12-13,250,3,
268,2023-10-10,150,2,
269,2023-07-12,250,3,
270,2024-07-23,150,2,
271,2024-08-04,150,2,
272,2022-12-24,150,2,
273,2023-04-09,150,2,
274,2023-09-29,250,3,
275,2023-07-03,150,2,
276,2024-03-17,250,3,
277,2022-12-25,250,3,
278,2024-04-28,150,2,
279,2022-06-09,150,2,
280,2023-05-19,150,2,
281,2022-10-15,150,2,
282,2024-01-12,150,2,
283,2022-05-07,150,2,
284,2024-07-20,150,2,
285,2023-09-12,150,2,
286,2024-11-16,150,2,
287,2023-03-07,150,2,
288,2023-06-21,150,2,2024-09-30
288,2024-10-01,110,2,
289,2022-09-14,150,2,
290,2024-10-13,150,2,
291,2024-11-03,150,2,
292,2022-05-30,150,2,
293,2024-08-06,150,2,
294,2023-10-12,150,2,
295,2022-04-17,150,2,
296,2024-05-05,150,2,
297,2022-05-02,150,2,
298,2022-08-11,150,2,
299,2024-07-19,150,2,
300,2023-11-04,150,2,
301,2022-09-01,150,2,
302,2023-09-26,150,2,
303,2022-09-19,150,2,
304,2022-02-04,150,2,
305,2022-08-09,150,2,
306,2024-10-13,150,2,
307,2022-02-25,150,2,
308,2023-03-05,250,3,
309,2022-10-19,150,2,
310,2024-01-24,150,2,
311,2024-10-31,150,2,
312,2024-02-27,150,2,
313,2023-03-26,150,2,
314,2023-05-13,150,2,2024-09-30
314,2024-10-01,110,2,
315,2022-05-27,150,2,
316,2024-10-30,150,2,
317,2024-06-19,150,2,
318,2022-01-31,150,2,
319,2023-01-04,150,2,
320,2024-07-01,150,2,2024-09-30
320,2024-10-01,110,2,
321,2024-06-04,150,2,
322,2022-02-06,150,2,
323,2024-05-09,150,2,
324,2024-08-15,150,2,
325,2024-07-05,150,2,2024-09-30
325,2024-10-01,110,2,
326,2024-12-01,150,2,
327,2022-03-07,150,2,
328,2023-12-01,250,3,
329,2023-06-01,150,2,
330,2023-08-12,150,2,
331,2023-06-16,250,3,
332,2024-10-10,150,2,
333,2022-11-02,150,2,
334,2022-01-27,150,2,
335,2024-09-17,150,2,2024-09-30
335,2024-10-01,110,2,
336,2022-05-19,150,2,
337,2024-09-27,250,3,
338,2023-06-02,250,3,
339,2024-03-14,150,2,
340,2024-09-17,150,2,
341,2023-03-27,150,2,
342,2024-05-10,150,2,
343,2023-05-23,150,2,
344,2022-01-11,150,2,2024-09-30
344,2024-10-01,110,2,
345,2024-12-10,150,2,
346,2022-11-21,400,5,
347,2024-10-05,150,2,
348,2023-07-03,150,2,
349,2024-02-13,150,2,
350,2023-04-27,150,2,
351,2023-03-11,150,2,
352,2023-06-01,400,5,
353,2022-03-20,150,2,
354,2024-05-30,150,2,
355,2024-07-17,150,2,
356,2023-06-08,150,2,
357,2022-05-03,150,2,
358,2023-06-11,150,2,
359,2022-07-14,150,2,
360,2023-07-10,150,2,
361,2024-01-29,150,2,
362,2022-02-13,250,3,
363,2024-08-02,250,3,
364,2023-07-27,150,2,
365,2023-03-22,150,2,
366,2023-08-02,150,2,
367,2022-11-29,150,2,
368,2022-01-10,150,2,
369,2023-06-26,250,3,2024-09-30
369,2024-10-01,210,3,
370,2022-12-23,150,2,
371,2022-01-05,150,2,
372,2023-12-17,150,2,
373,2023-02-19,150,2,
374,2022-07-03,250,3,
375,2022-10-13,150,2,2024-09-30
375,2024-10-01,110,2,
376,2022-10-16,150,2,
377,2023-01-30,150,2,
378,2022-12-02,150,2,
379,2023-04-07,150,2,
380,2022-04-19,150,2,
381,2022-01-27,150,2,
382,2022-08-08,150,2,
383,2022-02-12,150,2,
384,2024-03-25,400,5,2024-09-30
384,2024-10-01,360,5,
385,2022-09-17,150,2,
386,2022-08-08,150,2,
387,2024-12-23,250,3,
388,2024-05-28,400,5,
389,2022-06-24,150,2,
390,2023-02-18,150,2,
391,2022-05-29,150,2,
392,2024-12-29,150,2,
393,2024-05-08,400,5,
394,2023-08-19,150,2,
395,2023-09-29,150,2,
396,2024-08-13,150,2,
397,2022-12-20,150,2,
398,2024-10-03,150,2,
399,2024-02-05,150,2,2024-09-30
399,2024-10-01,110,2,
400,2023-04-05,150,2,
401,2022-03-03,150,2,2024-09-30
401,2024-10-01,110,2,
402,2023-12-24,150,2,
403,2022-06-07,150,2,
404,2024-02-18,150,2,
405,2023-04-03,150,2,
406,2024-10-03,150,2,
407,2022-07-07,150,2,
408,2023-04-17,150,2,
409,2024-03-16,150,2,
410,2023-01-15,150,2,
411,2024-04-16,150,2,
412,2024-12-31,150,2,
413,2023-03-18,150,2,
414,2023-02-24,150,2,2024-09-30
414,2024-10-01,110,2,
415,2024-12-16,150,2,
416,2023-05-25,150,2,
417,2023-06-18,150,2,
418,2024-03-04,150,2,
419,2023-05-10,150,2,
420,2024-10-20,150,2,
421,2024-03-11,150,2,
422,2024-09-16,150,2,
423,2023-11-19,150,2,
424,2022-03-24,150,2,
425,2024-12-13,150,2,
426,2024-06-16,150,2,
427,2022-07-29,250,3,2024-09-30
427,2024-10-01,210,3,
428,2024-12-03,150,2,
429,2024-04-04,150,2,
430,2022-08-02,150,2,
431,2024-08-15,150,2,
432,2023-09-14,150,2,
433,2023-11-10,250,3,
434,2022-12-31,150,2,
435,2024-08-02,150,2,
436,2023-09-01,150,2,
437,2023-11-01,150,2,
438,2024-06-19,150,2,
439,2022-03-31,150,2,
440,2024-12-31,150,2,
441,2023-04-08,150,2,
442,2023-01-02,150,2,
443,2023-04-27,150,2,
444,2022-12-28,150,2,
445,2024-01-13,150,2,
446,2022-02-01,150,2,
447,2023-09-26,150,2,
448,2023-09-30,150,2,
449,2022-07-31,150,2,
450,2022-07-24,150,2,
451,2022-06-12,150,2,
452,2024-11-30,150,2,
453,2022-10-03,150,2,
454,2024-06-25,400,5,
455,2024-02-28,150,2,
456,2022-01-10,150,2,
457,2023-08-01,150,2,
458,2024-12-13,150,2,
459,2022-11-24,150,2,
460,2023-06-20,150,2,
461,2023-08-29,150,2,
462,2024-05-11,150,2,
463,2023-10-16,150,2,
464,2022-01-30,250,3,
465,2024-02-28,150,2,
466,2022-03-31,400,5,
467,2022-02-22,150,2,
468,2024-11-13,150,2,
469,2022-01-01,150,2,
470,2022-11-11,150,2,
471,2024-09-08,150,2,
472,2023-01-26,150,2,
473,2022-05-09,250,3,
474,2022-12-15,250,3,
475,2024-08-15,150,2,2024-09-30
475,2024-10-01,110,2,
476,2022-08-20,150,2,
477,2022-05-19,400,5,
478,2022-01-06,150,2,
479,2022-10-02,150,2,
480,2023-09-24,150,2,
481,2024-04-17,150,2,
482,2022-12-10,150,2,
483,2024-09-25,150,2,
484,2023-10-26,150,2,
485,2022-10-16,150,2,
486,2024-01-07,150,2,2024-09-30
486,2024-10-01,110,2,
487,2022-11-01,250,3,
488,2024-03-30,150,2,2024-09-30
488,2024-10-01,110,2,
489,2022-06-17,150,2,
490,2023-10-20,250,3,
491,2023-03-02,150,2,
492,2024-04-18,150,2,
493,2023-09-02,150,2,
494,2023-11-03,150,2,
495,2023-01-19,150,2,
496,2023-11-04,250,3,
497,2022-09-05,150,2,
498,2023-07-27,150,2,
499,2024-09-17,150,2,
500,2022-04-01,150,2,
501,2023-01-12,150,2,
502,2022-02-15,400,5,
503,2022-02-13,150,2,
504,2024-07-24,150,2,
505,2024-10-16,150,2,
506,2024-07-03,150,2,
507,2022-09-21,150,2,
508,2024-10-21,150,2,
509,2022-01-28,150,2,
510,2022-08-16,150,2,
511,2022-11-09,150,2,
512,2023-08-08,150,2,
513,2022-10-05,400,5,
514,2022-03-23,150,2,
515,2023-09-24,150,2,
516,2024-01-07,150,2,
517,2022-11-23,150,2,
518,2023-08-15,150,2,
519,2024-12-24,150,2,
520,2022-03-02,250,3,
521,2022-03-17,150,2,
522,2023-07-01,150,2,
523,2024-10-31,150,2,
524,2022-04-04,150,2,
525,2022-02-01,150,2,
526,2024-07-24,150,2,
527,2023-01-19,250,3,
528,2023-12-06,250,3,
529,2023-12-12,150,2,
530,2023-10-26,250,3,
531,2024-05-22,150,2,
532,2024-09-03,150,2,
533,2024-11-10,150,2,
534,2022-04-16,150,2,
535,2023-06-19,150,2,
536,2023-05-26,150,2,
537,2024-11-09,150,2,
538,2023-08-10,150,2,
539,2022-08-31,150,2,
540,2022-03-14,150,2,
541,2023-02-06,150,2,
542,2023-11-17,150,2,
543,2022-08-02,150,2,
544,2024-12-31,150,2,
545,2023-12-15,150,2,
546,2022-12-31,150,2,
547,2023-05-20,250,3,
548,2022-06-06,150,2,
549,2022-06-28,150,2,
550,2024-02-12,150,2,
551,2023-02-01,150,2,
552,2022-01-06,250,3,
553,2022-11-14,150,2,
554,2024-05-01,150,2,
555,2023-06-02,400,5,
556,2024-09-09,150,2,
557,2024-05-05,150,2,2024-09-30
557,2024-10-01,110,2,
558,2024-09-11,150,2,
559,2023-10-10,150,2,
560,2023-08-23,150,2,
561,2022-11-29,150,2,
562,2022-03-16,150,2,
563,2023-02-01,150,2,
564,2022-02-10,150,2,
565,2022-05-08,150,2,
566,2024-01-23,150,2,
567,2023-10-20,150,2,
568,2024-05-01,150,2,
569,2024-10-12,150,2,
570,2022-08-12,150,2,
571,2023-09-21,150,2,
572,2023-11-03,150,2,2024-09-30
572,2024-10-01,110,2,
573,2022-12-28,150,2,
574,2023-08-15,150,2,
575,2022-07-28,150,2,
576,2023-07-07,150,2,
577,2023-08-03,150,2,
578,2022-10-02,150,2,
579,2023-02-25,150,2,
580,2022-09-23,150,2,
581,2024-02-18,150,2,
582,2023-04-21,150,2,
583,2023-03-02,150,2,
584,2023-01-07,150,2,
585,2023-05-19,150,2,
586,2022-06-01,150,2,
587,2024-10-11,150,2,
588,2022-11-05,150,2,
589,2023-04-12,250,3,
590,2022-09-25,150,2,
591,2024-01-20,150,2,
592,2024-01-15,150,2,
593,2023-05-19,150,2,
594,2022-12-12,150,2,
595,2023-05-01,150,2,
596,2022-08-26,400,5,
597,2023-06-30,150,2,
598,2024-01-16,150,2,
599,2023-07-03,150,2,
600,2024-02-06,150,2,
601,2023-11-16,150,2,
602,2023-05-07,150,2,
603,2022-11-12,150,2,
604,2024-06-17,150,2,
605,2022-03-28,150,2,
606,2024-09-27,150,2,
607,2024-12-10,150,2,
608,2024-03-06,150,2,
609,2023-09-15,150,2,
610,2022-07-30,150,2,
611,2023-11-14,150,2,
612,2023-10-24,150,2,
613,2023-10-24,150,2,
614,2024-10-14,250,3,
615,2023-02-18,150,2,
616,2023-06-01,150,2,
617,2023-05-05,150,2,
618,2024-05-29,250,3,
619,2023-05-20,150,2,
620,2022-06-10,150,2,
621,2022-10-29,150,2,
622,2024-03-25,150,2,
623,2022-11-20,150,2,
624,2022-01-05,150,2,
625,2023-11-07,150,2,
626,2022-11-16,150,2,
627,2022-11-01,150,2,2024-09-30
627,2024-10-01,110,2,
628,2022-01-31,150,2,
629,2024-07-05,150,2,
630,2022-11-26,150,2,
631,2022-05-06,150,2,
632,2022-07-16,150,2,
633,2023-04-17,150,2,
634,2022-08-27,150,2,
635,2023-01-12,150,2,
636,2024-09-26,150,2,
637,2024-07-19,150,2,
638,2024-02-09,150,2,
639,2023-01-23,150,2,
640,2022-04-21,150,2,
641,2022-04-23,150,2,
642,2023-11-16,150,2,
643,2022-05-22,150,2,
644,2023-01-19,150,2,2024-09-30
644,2024-10-01,110,2,
645,2024-08-21,150,2,
646,2023-01-09,150,2,
647,2022-11-16,150,2,
648,2022-11-24,150,2,
649,2023-04-02,150,2,
650,2024-10-21,250,3,
651,2022-12-01,150,2,
652,2022-10-24,150,2,
653,2023-08-20,250,3,
654,2023-07-24,150,2,
655,2023-11-25,250,3,
656,2022-11-14,150,2,
657,2024-06-25,150,2,
658,2023-04-10,250,3,
659,2023-07-27,150,2,
660,2023-01-23,150,2,
661,2022-08-20,150,2,
662,2023-04-25,150,2,2024-09-30
662,2024-10-01,110,2,
663,2024-01-18,150,2,
664,2022-02-14,150,2,
665,2023-07-03,150,2,
666,2023-12-09,150,2,
667,2024-09-03,150,2,
668,2022-01-29,150,2,
669,2024-05-12,250,3,
670,2024-06-11,150,2,
671,2023-09-03,150,2,
672,2024-08-13,150,2,
673,2022-07-20,150,2,
674,2024-02-19,250,3,
675,2024-02-20,150,2,
676,2022-01-02,150,2,
677,2024-01-26,150,2,
678,2022-08-15,150,2,
679,2023-12-29,150,2,
680,2022-05-27,150,2,
681,2024-05-11,250,3,
682,2023-06-28,250,3,
683,2024-04-03,150,2,
684,2023-02-15,150,2,
685,2023-08-15,150,2,
686,2022-11-16,150,2,
687,2023-04-06,150,2,
688,2023-08-28,400,5,
689,2023-03-02,150,2,
690,2023-06-30,150,2,
691,2022-05-14,150,2,
692,2023-05-22,150,2,
693,2024-01-18,150,2,
694,2022-12-01,400,5,
695,2023-07-19,150,2,
696,2024-08-07,150,2,
697,2023-08-18,150,2,
698,2022-03-17,150,2,
699,2024-12-09,150,2,
700,2022-03-17,150,2,
701,2024-12-08,150,2,
702,2023-09-01,250,3,
703,2024-11-08,150,2,
704,2023-07-27,150,2,
705,2022-05-07,150,2,
706,2023-08-24,250,3,
707,2023-08-04,150,2,
708,2024-04-28,150,2,2024-09-30
708,2024-10-01,110,2,
709,2022-09-24,150,2,
710,2023-07-17,150,2,
711,2022-03-01,150,2,2024-09-30
711,2024-10-01,110,2,
712,2023-03-21,150,2,
713,2023-10-11,150,2,
714,2024-05-31,150,2,
715,2023-07-02,150,2,
716,2022-05-28,150,2,
717,2023-12-21,150,2,
718,2024-08-29,150,2,
719,2023-12-03,150,2,
720,2022-08-03,250,3,
721,2022-06-12,250,3,
722,2024-08-22,150,2,
723,2024-01-28,150,2,
724,2022-03-15,150,2,
725,2022-01-22,150,2,
726,2023-10-13,150,2,
727,2024-10-14,150,2,
728,2022-10-26,150,2,
729,2022-03-07,150,2,
730,2022-12-29,150,2,
731,2024-11-25,150,2,
732,2024-05-27,150,2,
733,2023-04-17,150,2,
734,2022-07-23,150,2,
735,2022-07-21,250,3,2024-09-30
735,2024-10-01,210,3,
736,2022-02-22,150,2,
737,2024-07-14,250,3,
738,2022-10-05,150,2,
739,2024-12-02,150,2,
740,2023-11-18,150,2,
741,2022-11-04,150,2,
742,2023-09-03,150,2,
743,2024-04-09,150,2,
744,2023-05-13,150,2,
745,2024-03-17,150,2,
746,2022-05-09,250,3,
747,2022-05-24,250,3,
748,2022-10-05,150,2,
749,2023-07-10,150,2,
750,2024-08-22,150,2,
751,2024-07-21,150,2,
752,2024-10-07,150,2,
753,2022-04-21,150,2,
754,2022-06-20,150,2,2024-09-30
754,2024-10-01,110,2,
755,2022-07-18,400,5,
756,2023-01-01,150,2,
757,2024-06-04,150,2,
758,2022-02-03,150,2,
759,2023-10-29,150,2,
760,2024-04-01,150,2,
761,2024-05-16,150,2,
762,2023-07-09,150,2,
763,2022-02-25,150,2,
764,2024-03-11,250,3,
765,2022-02-12,150,2,2024-09-30
765,2024-10-01,110,2,
766,2023-02-28,150,2,
767,2024-03-12,150,2,
768,2024-05-26,150,2,
769,2022-02-10,150,2,
770,2023-11-27,150,2,
771,2022-04-20,150,2,
772,2023-01-18,150,2,
773,2024-01-30,250,3,
774,2022-06-09,150,2,
775,2022-09-17,150,2,
776,2024-03-14,150,2,
777,2022-03-28,150,2,
778,2022-08-29,150,2,
779,2023-03-08,150,2,
780,2022-01-30,150,2,
781,2024-06-25,150,2,
782,2024-09-06,150,2,
783,2022-02-17,250,3,
784,2023-01-21,150,2,
785,2022-08-04,150,2,
786,2022-09-28,250,3,
787,2023-05-23,150,2,
788,2023-02-10,250,3,
789,2024-05-19,150,2,
790,2024-01-08,250,3,
791,2023-02-21,150,2,
792,2023-10-09,150,2,
793,2023-02-18,150,2,
794,2022-01-03,150,2,
795,2024-07-27,150,2,
796,2024-10-05,150,2,
797,2022-01-07,150,2,
798,2024-10-26,150,2,
799,2022-07-18,150,2,
800,2022-02-20,150,2,
